5_5,4.700855,0.542403,3.250000,80,15.982007,0.727138,2.740894,66
5_10,5.238095,0.847577,3.611111,72,16.837537,0.979580,2.731277,57
5_15,5.392157,1.213461,3.714286,70,17.075296,2.269874,2.762726,54
5_20,5.555556,2.103738,3.823529,68,17.347419,5.191833,2.828121,50
5_25,5.729167,3.683216,3.939394,66,17.634128,12.309373,2.938144,49
5_30,5.729167,3.664024,3.939394,66,17.636866,14.388899,2.958699,49
5_35,5.820106,6.488902,4.000000,65,17.811850,29.602173,3.118185,49
10_5,6.442982,3.127680,4.482759,58,18.481358,4.759745,4.764240,36
10_10,7.494898,3.980775,5.200000,50,19.796771,4.783363,4.816638,27
10_15,7.813830,4.644905,5.416667,48,20.171785,5.090174,4.846964,24
10_20,8.161111,6.110160,5.652174,46,20.597637,6.965871,4.899944,20
10_25,8.540698,8.661487,5.909091,44,21.051487,14.624332,4.985516,19
10_30,8.540698,8.632699,5.909091,44,21.054900,17.246364,5.003718,19
10_35,8.744048,13.018414,6.046512,43,21.325521,35.510753,5.139693,19
15_5,8.077493,10.918223,5.652174,46,20.606694,20.292351,6.856344,27
15_10,9.823978,13.680832,6.842105,38,22.417926,21.378857,7.039461,18
15_15,10.385348,15.105230,7.222222,36,22.949523,21.479488,7.087199,15
15_20,11.014763,17.702946,7.647059,34,23.550077,21.582988,7.145061,11
15_25,11.725393,21.935571,8.125000,32,24.199560,24.911016,7.218682,10
15_30,11.725393,21.895988,8.125000,32,24.204744,27.138762,7.235978,10
15_35,12.116239,28.407246,8.387097,31,24.586458,43.640427,7.355829,10
20_5,9.313797,21.851461,6.500000,40,22.034752,34.625659,8.130191,25
20_10,11.717358,27.865368,8.125000,32,24.221874,36.342367,8.388050,16
20_15,12.525452,30.520281,8.666667,30,24.872146,36.290578,8.435375,13
20_20,13.453263,34.775726,9.285714,28,25.604629,35.487994,8.476257,9
20_25,14.529524,41.298401,10.000000,26,26.400334,35.917795,8.507915,8
20_30,14.529524,41.249683,10.000000,26,26.406900,37.877255,8.525978,8
20_35,15.134921,50.097792,10.400000,25,26.870958,50.573509,8.616264,8
25_5,10.084596,36.916973,7.027027,37,22.867496,58.568175,9.356271,24
25_10,12.965909,47.709012,8.965517,29,25.289196,61.976389,9.764407,15
25_15,13.963287,52.354124,9.629630,27,26.017393,62.087659,9.858811,12
25_20,15.126894,58.370930,10.400000,25,26.832392,61.509077,9.919677,10
25_25,15.784585,62.365056,10.833333,24,27.266491,60.819542,9.944289,8
25_30,16.502066,71.024695,11.304348,23,27.744496,61.211555,10.014923,8
25_35,17.287879,77.193192,11.818182,22,28.269757,60.767854,9.961911,7
30_5,10.649834,59.451707,7.428571,35,23.549315,107.254079,10.994247,25
30_10,13.926705,77.720115,9.629630,27,26.160678,115.996766,11.687753,16
30_15,15.087264,84.894390,10.400000,25,26.946637,117.736904,11.852426,13
30_20,16.458834,94.803116,11.304348,23,27.823331,118.262890,12.005197,9
30_25,18.104717,108.595703,12.380952,21,28.773920,117.413460,12.132115,8
30_30,18.104717,108.535385,12.380952,21,28.783381,118.207719,12.147805,8
30_35,19.057597,122.959806,13.000000,20,29.328592,119.074668,12.263768,8
35_5,10.956635,76.404653,7.647059,34,23.914757,145.085304,12.046191,25
35_10,14.462759,100.591982,10.000000,26,26.631235,158.252442,12.937721,16
35_15,15.720390,109.971175,10.833333,24,27.452294,161.286783,13.164557,13
35_20,17.217570,122.610005,11.818182,22,28.363713,163.138191,13.384646,9
35_25,19.029946,139.872910,13.000000,20,29.351388,163.357495,13.583078,8
35_30,19.029946,139.809577,13.000000,20,29.362346,163.969919,13.597794,8
35_35,20.087165,156.639188,13.684211,19,29.924553,163.453051,13.746014,8
